latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
44.308,22.731,335.5,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,293.5,0,N
44.307,22.736,310,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.3,0,N
44.305,22.73,326.3,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
44.304,22.735,315.7,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.6,0,N
44.058,24.497,302.4,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.1,0,N
44.055,24.496,299.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.9,0,N
44.233,23.164,322.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.7,0,N
44.049,24.47,299.2,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,288.7,0,N
44.048,24.474,312.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
44.229,23.163,310.9,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,291.1,0,N
43.957,24.967,344.1,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,290.1,0,N
43.956,24.972,333.6,0.4,0.4,2016-07-12,0015,N,nominal,1.0NRT,289.5,0,N
